Track name,Artist name,Album,Playlist name,Type,ISRC,Spotify - id
"Roxanne","The Police","Outlandos D'Amour (Remastered 2003)","Aspis BôB ","Playlist","GBAAM0201086","3EYOJ48Et32uATr9ZmLnAo"
"Hotel California - 2013 Remaster","Eagles","Hotel California (2013 Remaster)","Aspis BôB ","Playlist","USEE11300353","40riOy7x9W7GXjyGp4pjAv"
"Africa","TOTO","Toto IV","Aspis BôB ","Playlist","USSM19801941","2374M0fQpWi3dLnB54qaLX"
"Take Me Out","Franz Ferdinand","Franz Ferdinand","Aspis BôB ","Playlist","GBCEL0300192","20I8RduZC2PWMWTDCZuuAN"
"Everlong","Foo Fighters","The Colour And The Shape","Aspis BôB ","Playlist","USRW29600011","5UWwZ5lm5PKu6eKsHAGxOk"
"Island In The Sun","Weezer","Weezer","Aspis BôB ","Playlist","USIR10110358","2MLHyLy5z5l5YRp7momlgw"
"I'm Still Standing","Elton John","Too Low For Zero","Aspis BôB ","Playlist","GBALX8300190","1jDJFeK9x3OZboIAHsY9k2"
"Don't Stop Me Now - Remastered 2011","Queen","Jazz (2011 Remaster)","Aspis BôB ","Playlist","GBUM71029610","5T8EDUDqKcs6OSOwEsfqG7"
"Bohemian Rhapsody - Remastered 2011","Queen","A Night At The Opera (2011 Remaster)","Aspis BôB ","Playlist","GBUM71029604","4u7EnebtmKWzUH433cf5Qv"
"Virtual Insanity","Jamiroquai","Pop Music: The Modern Era 1976-1999","Aspis BôB ","Playlist","GBBBL9600119","24SUWisv2lYQiB3bVpE1sn"
"Cosmic Girl","Jamiroquai","Center Stage Music From The Motion Picture","Aspis BôB ","Playlist","GBBBL9600106","2fiRJjWb9uk21Gva6oHpKs"
"Pumped Up Kicks","Foster The People","Torches","Aspis BôB ","Playlist","USSM11002931","7w87IxuO7BDcJ3YUqCyMTT"
"Little L","Jamiroquai","A Funk Odyssey","Aspis BôB ","Playlist","GBBBN0102227","7hhclvecTpNxNNRCk7NUoc"
"Sweet Disposition","The Temper Trap","Conditions","Aspis BôB ","Playlist","GBZUZ0900013","1jUkHIMc7UaJQuzWe5Iop2"
"Ordinary","Alex Warren","Ordinary","Aspis BôB ","Playlist","USAT22500463","6qqrTXSdwiJaq8SO0X2lSe"
